,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
1885.,BIT TONIC S.R.L.,IT12729190012,12729190012,TO1311929,12729190012,"VIA PIRANDELLO LUIGI, 1",Torino,10020,Piemonte,,,,,620100,13/07/2022,,Attiva,S.R.L.
1886.,PROGETTA LA DOMOTICA S.R.L.,IT12274820013,12274820013,TO1277989,12274820013,"CSO TORINO, 25",Torino,10023,Piemonte,,,,,620200,27/02/2020,,Attiva,S.R.L.
1887.,ULTRAMAS S.R.L.,IT12550050962,12550050962,MI2668761,12550050962,"VIA GIOVANNI BATTISTA PERGOLESI, 8",Milano,20124,Lombardia,VIA GIOVANNI BATTISTA PERGOLESI 8,Milano,20124,LOMBARDIA,620100,07/09/2022,,Attiva,S.R.L.
1888.,SAMS S.R.L.,IT09198801210,09198801210,NA1015681,09198801210,"VIA FERRANTE IMPARATO, 190",Napoli,80146,Campania,VIA FERRANTE IMPARATO 190,Napoli,80146,CAMPANIA,552051,27/03/2019,,Attiva,S.R.L.
1889.,PHARMA BIOMATECK SOCIETA' A RESPONSABILITA' LIMITATA,IT08996801216,08996801216,NA1000881,08996801216," AREA PIP - LOTTO 25 - ZONA ASI, SN",Napoli,80027,Campania,,,,,721100,20/07/2018,,Attiva,S.R.L.
1890.,GIFT SCHOOL S.R.L.,IT12285720012,12285720012,TO1278676,12285720012,"VIA GIUSEPPE GARIBALDI, 3",Torino,10122,Piemonte,,,,,631200,18/03/2020,,Attiva,S.R.L.
1891.,01GREEN S.R.L.,IT03900521208,03900521208,BO0554646,03900521208,"VIA SAGITTARIO, 17",Bologna,40037,Emilia-Romagna,VIA SAGITTARIO 17,Bologna,40037,EMILIA-ROMAGNA,270000,02/11/2020,,Attiva,S.R.L.
1892.,AUTOMATON S.R.L. START-UP COSTITUITA A NORMA DELL'ART.4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N.3,IT04487410161,04487410161,BG0466767,04487410161,"VIA GUZZANICA, 6",Bergamo,24044,Lombardia,VIA GUZZANICA 6,Bergamo,24044,LOMBARDIA,721909,23/12/2020,,Attiva,S.R.L.
1893.,CARMAPA S.R.L.,IT02928750641,02928750641,AV0193113,02928750641,"VIA CARDITO, 202",Avellino,83031,Campania,VIA XXV APRILE 17,Avellino,83031,CAMPANIA,620100,13/03/2017,,Attiva,S.R.L.
1894.,L'EQUIPE DEL SORRISO SOCIETA' TRA PROFESSIONISTI S.R.L.,IT08932351219,08932351219,NA0995945,08932351219,"VIA DON LORENZO MILANI, 5",Napoli,80145,Campania,,,,,721100,19/04/2018,,Attiva,S.R.L.
1895.,MIROTEK SOCIETA' A RESPONSABILITA' LIMITATA,IT08554470727,08554470727,BA0634529,08554470727,"VIA DEI GAROFANI, 7",Bari,70026,Puglia,VIA DEI GAROFANI 7,Bari,70026,PUGLIA,741010,30/03/2021,,Attiva,S.R.L.
1896.,UP YOUR SHOOT S.R.L.,IT02972330845,02972330845,AG0218926,02972330845,"VIA FALCONE E BORSELLINO, 18",Agrigento,92020,Sicilia,,,,,620100,17/02/2020,,Attiva,S.R.L.
1897.,QUALIFIA S.R.L.,IT02781560418,02781560418,PS0283693,02781560418,"VIA SAN DECENZIO, 16",Pesaro e Urbino,61121,Marche,,,,,620100,11/07/2022,,Attiva,S.R.L.
1898.,GENIOMA S.R.L.,IT01594440297,01594440297,RO0431421,01594440297,"RIV GIACOMO MATTEOTTI, 18/3",Rovigo,45011,Veneto,RIVIERA GIACOMO MATTEOTTI 18/3,Rovigo,45011,VENETO,261200,13/02/2020,,Attiva,S.R.L.
1899.,BLUEN S.R.L.,IT10386681216,10386681216,NA1102251,10386681216,"VIA FRANCESCO PETRARCA, 80",Napoli,80122,Campania,,,,,721909,09/10/2023,,Attiva,S.R.L.
1900.,DEVITECH S.R.L. START-UP COSTITUITA A NORMA DELL'ART.4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N.3,IT04437370168,04437370168,BG0462881,04437370168,"VIA GIACOMO LEOPARDI, 2/4",Bergamo,24052,Lombardia,,,,,265129,11/02/2020,,Attiva,S.R.L.
1901.,IL SALOTTO DI RIALTO SRL,IT05175530285,05175530285,PD0448937,05175530285,"VLE DELL'INDUSTRIA, 19",Padova,35129,Veneto,,,,,620100,27/11/2018,,Attiva,S.R.L.
1902.,FEEDEL VENTURES S.R.L.,IT02630470744,02630470744,BR0160356,02630470744,"VIA GIOVANNI FORLEO, 45",Brindisi,72022,Puglia,,,,,620100,02/09/2020,,Attiva,S.R.L.
1903.,AGRICOLA 2000 TECH S.R.L.,IT12099770963,12099770963,MI2640475,12099770963,"VIA TRIESTE, 9",Milano,20067,Lombardia,VIA TRIESTE 9,Milano,20067,LOMBARDIA,721909,10/11/2021,,Attiva,S.R.L.
1904.,DOEE CONSULTING S.R.L.,IT04630210278,04630210278,VE0435089,04630210278,"PZA SAN NICOLO', 12",Venezia,30034,Veneto,,,,,620200,16/11/2020,,Attiva,S.R.L.
1905.,BUGSLAB SOCIETA' AGRICOLA SRL,IT02973660349,02973660349,PR0281531,02973660349,"STR MIRANDOLA, 52/1",Parma,43123,Emilia-Romagna,,,,,721909,14/04/2021,,Attiva,S.R.L.
1906.,MEDFIS S.R.L.,IT04346560248,04346560248,VI0397446,04346560248,"VIA DELLA MECCANICA, 68",Vicenza,36042,Veneto,,,,,266002,20/05/2021,,Attiva,S.R.L.
1907.,QUANTUM POWER S.R.L - START UP INNOVATIVA A VOCAZIONE SOCIALE,IT08660981211,08660981211,NA0975123,08660981211,"VIA SAN CRISTOFARO, 87",Napoli,80055,Campania,VIA SAN CRISTOFARO 87,Napoli,80055,CAMPANIA,889900,05/05/2017,,Attiva,S.R.L.
1908.,SPACE FACTORY SRL,IT08242831215,08242831215,NA0943276,08242831215,"VIA EMANUELE GIANTURCO, 31",Napoli,80146,Campania,VIA EMANUELE GIANTURCO 31,Napoli,80146,CAMPANIA,721909,09/12/2015,,Attiva,S.R.L.
1909.,R-DATA S.R.L.,IT04155910617,04155910617,CE0303151,04155910617,"VIA FULVIO RENELLA, 118/A",Caserta,81100,Campania,VIA FULVIO RENELLA 118 A,Caserta,81100,CAMPANIA,620100,11/05/2016,,Attiva,S.R.L.
1910.,ECATE ENGINEERING S.R.L.,IT03136670647,03136670647,AV0300541,03136670647,VIA ARCELLA,Avellino,83030,Campania,,,,,712021,08/09/2022,,Attiva,S.R.L.
1911.,REEFILLA S.R.L.,IT12462450011,12462450011,TO1293114,12462450011," PIETRO COLLETTA, 85",Torino,10153,Piemonte,VIA BARDASSANO 7,Torino,10132,PIEMONTE,620100,13/04/2021,,Attiva,S.R.L.
1912.,EXPOFIN S.R.L.,IT05419570287,05419570287,PD0466159,05419570287,"VLE DELL'INDUSTRIA, 19",Padova,35129,Veneto,,,,,271100,17/11/2021,,Attiva,S.R.L.
1913.,VIS ETHIC RESEARCH S.R.L.,IT02096640384,02096640384,FE0225532,02096640384,"VIA LAVEZZOLA, 140",Ferrara,44123,Emilia-Romagna,,,,,829999,24/08/2021,,Attiva,S.R.L.
1914.,IL TUO CONTABILE S.R.L.,IT11308680963,11308680963,MI2593511,11308680963,"VIA CHIARAVALLE, 11",Milano,20122,Lombardia,VIA CHIARAVALLE 11,Milano,20122,LOMBARDIA,620100,29/05/2020,,Attiva,S.R.L.
1915.,"FIELDCARE S.R.L. START-UP COSTITUITA A NORMA DELL'ARTICOLO 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015, N.3.",IT16078911001,16078911001,RM1633188,16078911001,"VIA PALAU, 135",Roma,00148,Lazio,,,,,732000,03/03/2021,,Attiva,S.R.L.
1916.,PARCY S.R.L.,IT14900481004,14900481004,RM1554328,14900481004,"VIA MARSALA, 29 H/I",Roma,00185,Lazio,,,,,620100,01/08/2018,,Attiva,S.R.L.
1917.,AERSHURE S.R.L.,IT04511290167,04511290167,BG0468444,04511290167,"VIA GIAN MARIA SCOTTI, 4",Bergamo,24122,Lombardia,,,,,620100,11/03/2021,,Attiva,S.R.L.
1918.,SICE INNOVATION S.R.L.,IT04642140166,04642140166,BG0478297,04642140166,"VIA CAMPAGNOLA, 40",Bergamo,24126,Lombardia,,,,,711100,09/12/2022,,Attiva,S.R.L.
1919.,EVODEAF SRL SOCIETA' BENEFIT,IT04375530989,04375530989,MI2718748,04375530989,"PZA DELLA REPUBBLICA, 19 - MILANO",Milano,20124,Lombardia,,,,,620100,01/04/2022,,Attiva,S.R.L.
1920.,BORAG S.R.L. SOCIETA' TRA PROFESSIONISTI,IT02700270396,02700270396,RA0224533,02700270396,"VIA ALBERT EINSTEIN, 6",Ravenna,48018,Emilia-Romagna,,,,,692011,14/12/2021,,Attiva,S.R.L.
1921.,AIDAPT S.R.L.,IT02894680426,02894680426,AN0274743,02894680426,"VIA ACHILLE GRANDI, 27",Ancona,60131,Marche,,,,,620100,05/07/2021,,Attiva,S.R.L.
1922.,CREATIVE HARBOUR S.R.L.,IT01267480075,01267480075,AO0080855,01267480075,"LOC LA CRETE, 272",Valle d'Aosta/Vallée d'Aoste,11018,Valle d'Aosta/Vallée d'Aoste,,,,,791100,13/09/2021,,Attiva,S.R.L.
1923.,INCEPTION S.R.L.,IT02060940380,02060940380,FE0222583,02060940380,"VIA DELLA GHIARA, 36",Ferrara,44121,Emilia-Romagna,,,,,639900,14/01/2020,,Attiva,S.R.L.
1924.,ISOLA RESEARCH LAB S.R.L.,IT05858290652,05858290652,SA0479407,05858290652,"VIA MATTINE, 5",Salerno,84043,Campania,,,,,721909,28/10/2019,,Attiva,S.R.L.
1925.,STEPS S.R.L.,IT02618180067,02618180067,AL0270783,02618180067,"VIA LUIGI GALVANI, 24",Alessandria,15121,Piemonte,,,,,620100,08/10/2019,,Attiva,S.R.L.
1926.,YAMA SRL,IT03904501206,03904501206,BO0555004,03904501206,"VIA ANDREA COSTA, 228",Bologna,40134,Emilia-Romagna,,,,,620100,27/11/2020,,Attiva,S.R.L.
1927.,DRAGONI S.R.L.,IT02007670470,02007670470,PT0601409,02007670470,"VIA PALMIRO TOGLIATTI, 104",Pistoia,51035,Toscana,VIA PALMIRO TOGLIATTI 104,Pistoia,51035,TOSCANA,721909,20/01/2021,,Attiva,S.R.L.
1928.,OUTDOOR DESIGNERS S.R.L.,IT01854740337,01854740337,PC0196656,01854740337,"VIA SARMATO, 17",Piacenza,29121,Emilia-Romagna,,,,,620100,29/11/2022,,Attiva,S.R.L.
1929.,TAURUS 1908 S.R.L.,IT12278470963,12278470963,MI2651028,12278470963,"VIA GIUSEPPE VERDI, 1",Milano,20020,Lombardia,,,,,721909,23/02/2022,,Attiva,S.R.L.
1930.,"DE.SY.RE.-DESIGN SYSTEM REVOLUTION S.R.L. START-UP COSTITUITA A NORMA DELL'ART. 4, COMMA 10 BIS, DEL DECRETO LEGGE 24 GENNAIO 2015, N. 3 .",IT08383620724,08383620724,BA0623193,08383620724,"VIA DELLE ORCHIDEE, 1",Bari,70026,Puglia,VIA DELLE ORCHIDEE 1,Bari,70026,PUGLIA,620100,21/11/2019,,Attiva,S.R.L.
1931.,MARALBI S.R.L.,IT01356420321,01356420321,TS0207776,01356420321,"VIA SAN NICOL+, 30",Trieste,34121,Friuli-Venezia Giulia,,,,,222909,11/02/2021,,Attiva,S.R.L.
1932.,TADAN S.R.L.,IT02360680504,02360680504,PI0201264,02360680504,"LGO PADRE RENZO SPADONI, SNC",Pisa,56126,Toscana,,,,,620100,17/01/2020,,Attiva,S.R.L.
1933.,SERENDIPITY S.R.L.,IT03001380645,03001380645,AV0198341,03001380645,"VIA CIRCUMVALLAZIONE, 293",Avellino,83100,Campania,VIA CIRCUMVALLAZIONE 293,Avellino,83100,CAMPANIA,631111,21/12/2018,,Attiva,S.R.L.
1934.,DIGITALIZZA S.R.L.,IT05420480286,05420480286,PD0466273,05420480286,"VIA ROMA, 2",Padova,35010,Veneto,,,,,702209,22/11/2021,,Attiva,S.R.L.
1935.,NEXTMED SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,IT11167310967,11167310967,PT0606960,11167310967,VIA SAN DONATO,Pistoia,51100,Toscana,VIA SAN DONATO 345,Pistoia,51100,TOSCANA,266002,27/01/2020,,Attiva,S.R.L. semplificata
1936.,SEISMIX S.R.L.,IT06888470827,06888470827,PA0423031,06888470827,"VIA BRIUCCIA, 84",Palermo,90146,Sicilia,,,,,721901,27/07/2020,,Attiva,S.R.L.
1937.,WINEKISSYOU S.R.L.,IT05129670260,05129670260,TV0427329,05129670260,"VIA FONDERIA, 31",Treviso,31100,Veneto,VIA FONDERIA 31,Treviso,31100,VENETO,620100,16/12/2020,,Attiva,S.R.L.
1938.,BCONNECT S.R.L.,IT09790001219,09790001219,NA1057694,09790001219,"VIA GIOVANNI PORZIO, 4",Napoli,80143,Campania,,,,,620100,21/05/2021,,Attiva,S.R.L.
1939.,JAS JUICY AND SPARKLING SOCIETA' A RESPONSABILITA' LIMITATA IN BREVE ANCHE JAS S.R.L.,IT16203961004,16203961004,RM1641286,16203961004,"VLE GIULIO CESARE, 61",Roma,00192,Lazio,VIALE GIULIO CESARE 61,Roma,00192,LAZIO,110220,26/05/2021,,Attiva,S.R.L.
1940.,SWIPEAPP S.R.L.,IT16201801004,16201801004,RM1641403,16201801004," GIULIANA, 32",Roma,00195,Lazio,,,,,620100,24/05/2021,,Attiva,S.R.L.
1941.,AUDACIA INNOVATIONS SRL,IT02062520891,02062520891,SR0442213,02062520891,"VIA EUMELO, 32",Siracusa,96100,Sicilia,VIA EUMELO 32,Siracusa,96100,SICILIA,620100,20/09/2021,,Attiva,S.R.L.
1942.,ROOM'S S.R.L.,IT16669011005,16669011005,RM1668757,16669011005,"VIA DI ACQUA BULLICANTE, 304",Roma,00176,Lazio,,,,,812100,08/04/2022,,Attiva,S.R.L.
1943.,E-DESIGN S.R.L.,IT16179251000,16179251000,RM1640509,16179251000,"VIA TOMMASO SALVINI, 49/A",Roma,00197,Lazio,,,,,261109,10/05/2021,,Attiva,S.R.L.
1944.,DIGINN.COM S.R.L.,IT05840070659,05840070659,SA0477869,05840070659,"VIA NAZARIO SAURO, 3",Salerno,84135,Campania,,,,,721909,25/07/2019,,Attiva,S.R.L.
1945.,DESIGNWANTED S.R.L.,IT10565330965,10565330965,MI2541466,10565330965,"VIA AURELIO SAFFI, 29",Milano,20123,Lombardia,,,,,620100,05/12/2018,,Attiva,S.R.L.
1946.,TECHNO-RICERCA S.R.L. START-UP COSTITUITA A NORMA DELL' ART.4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N. 3,IT08998871217,08998871217,NA1000920,08998871217,VIA VICINALE SANTA MARIA DEL PIANTO,Napoli,80143,Campania,,,,,620100,17/07/2018,,Attiva,S.R.L.
1947.,IANUS PROJECT SRL,IT04251540987,04251540987,BS0600213,04251540987,"VIA ROMA, 12",Brescia,25050,Lombardia,,,,,620100,29/01/2021,,Attiva,S.R.L.
1948.,NEOMA S.R.L.,IT05032680265,05032680265,TV0420323,05032680265,"VLE IV NOVEMBRE, 60",Treviso,31100,Veneto,VIALE IV NOVEMBRE 60,Treviso,31100,VENETO,620100,31/07/2019,,Attiva,S.R.L.
1949.,AUDION ITALY S.R.L.,IT11196560962,11196560962,MI2585958,11196560962,"VIA GUSTAVO FARA, 35",Milano,20124,Lombardia,VIA ANDREA APPIANI 12,Milano,20121,LOMBARDIA,592010,18/02/2020,,Attiva,S.R.L.
1950.,IN INGLESE AARCH - ALFIERI ARCHITECTURE.IN ITALIANO AARCH ALFIERI ARCHITETTURA S.R.L. - START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N. 3,IT03706680794,03706680794,CZ0208470,03706680794,"VIA DEI CONTI FALLUC, 70/A",Catanzaro,88100,Calabria,,,,,711220,26/06/2019,,Attiva,S.R.L.
1951.,"ONE-OFF INNOVATION S.R.L. START-UP INNOVATIVA COSTITUITA A NORMA DELL'ART.4 COMMA 10 BIS, DEL DECRETO LEGGE 24 GENNAIO 2015, N.3",IT03915350130,03915350130,LC0406418,03915350130,"CSO MARTIRI DELLA LIBERAZIONE, 28",Lecco,23900,Lombardia,,,,,620100,21/09/2020,,Attiva,S.R.L.
1952.,G-HYDROTEX S.R.L.,IT04096700135,04096700135,CO0419402,04096700135,"VIA PRIMO TATTI, 4",Como,22100,Lombardia,,,,,711220,09/05/2023,,Attiva,S.R.L.
1953.,BAM SOCIETA' A RESPONSABILITA' LIMITATA,IT02670510391,02670510391,RA0222048,02670510391,"VLE DELLA LIRICA, 61",Ravenna,48124,Emilia-Romagna,,,,,620100,20/10/2020,,Attiva,S.R.L.
1954.,NUCLEAR DETECTION INNOVATION S.R.L.,IT11119010962,11119010962,MI2580480,11119010962,"VIA RICCARDO PITTERI, 10",Milano,20134,Lombardia,VIA RICCARDO PITTERI 10,Milano,20134,LOMBARDIA,265129,13/01/2020,,Attiva,S.R.L.
1955.,LINCE SRL,IT04496060981,04496060981,BS0618994,04496060981,"VIA SAN BARTOLOMEO, 9",Brescia,25128,Lombardia,,,,,711220,06/07/2023,,Attiva,S.R.L.
1956.,BLUE TASTE S.R.L.,IT11722510960,11722510960,MI2621018,11722510960,"VIA MICHELANGELO BUONARROTI, 15",Milano,20149,Lombardia,VIA ANDREA SOLARI 23,Milano,20144,LOMBARDIA,721100,12/04/2021,,Attiva,S.R.L.
1957.,CAROL - SOCIETA' A RESPONSABILITA' LIMITATA,IT16350161002,16350161002,RM1651076,16350161002,"VIA ELEONORA PIMENTEL, 2",Roma,00195,Lazio,VIA ELEONORA PIMENTEL 2,Roma,00195,LAZIO,620909,28/09/2021,,Attiva,S.R.L.
1958.,OPEN CLUSTER SRL IN FORMA ABBREVIATA OC SRL,IT01994150496,01994150496,LI0221421,01994150496,"VIA DELLE GRAZIE, 5",Livorno,57125,Toscana,,,,,620200,16/02/2022,,Attiva,S.R.L.
1959.,EDILIZIA DIGITALE S.R.L.,IT03131370649,03131370649,AV0206940,03131370649,"VIA FIORE, 6",Avellino,83025,Campania,,,,,711240,22/06/2022,,Attiva,S.R.L.
1960.,HUBTEC S.R.L.,IT04965500236,04965500236,VR0459885,04965500236,"VIA ADRIANO GARBINI, 15",Verona,37135,Veneto,,,,,620100,24/03/2023,,Attiva,S.R.L.
1961.,AIMESYS S.R.L.,IT02802450995,02802450995,GE0512196,02802450995,"LRE GIUSEPPE CANEPA, 55",Genova,16149,Liguria,LUNGOMARE GIUSEPPE CANEPA 55,Genova,16149,LIGURIA,620100,02/03/2022,,Attiva,S.R.L.
1962.,REFACTORMI S.R.L.,IT12407120968,12407120968,MI2660205,12407120968,"VIA GIOSU+ CARDUCCI, 32",Milano,20123,Lombardia,,,,,620100,09/05/2022,,Attiva,S.R.L.
1963.,BONIVIRI SOCIETA' BENEFIT A RESPONSABILITA' LIMITATA IN SIGLIA BONIVIRI SB SRL,IT05761460871,05761460871,CT0430574,05761460871,"VIA ETNEA, 29",Catania,95124,Sicilia,,,,,472990,10/07/2020,,Attiva,S.R.L.
1964.,AITECH4T S.R.L.,IT12135750961,12135750961,MI2643468,12135750961,"VIA DE ROLANDI BATTISTA, 1",Milano,20156,Lombardia,VIA BATTISTA DE ROLANDI 1,Milano,20156,LOMBARDIA,620100,14/12/2021,,Attiva,S.R.L.
1965.,BIG BUILDING INNOVATIVE GOVERNANCE S.R.L.SPIN OFF ACCADEMICO,IT03061370809,03061370809,RC0207315,03061370809," SAL MELISSARI, SNC",Reggio di Calabria,89124,Calabria,,,,,631119,07/12/2018,,Attiva,S.R.L.
1966.,"THE THINKING CLOUDS S.R.L. (START UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 DEL DECRETO LEGGE 24 GENNAIO 2015, N. 3.).",IT01732240625,01732240625,BN0144085,01732240625,CNT PIANO CAPPELLE,Benevento,82100,Campania,,,,,620100,17/12/2018,,Attiva,S.R.L.
1967.,ROSTINO S.R.L.,IT03657710541,03657710541,PG0304971,03657710541,"VOC BODOGLIE, 148/L",Perugia,06059,Umbria,,,,,479920,18/12/2018,,Attiva,S.R.L.
1968.,WHITELIBRA S.R.L.,IT10789710968,10789710968,MI2557392,10789710968,"GAL PASSARELLA, 1",Milano,20122,Lombardia,GALLERIA PASSARELLA 1,Milano,20122,LOMBARDIA,620100,18/04/2019,,Attiva (con procedure di insolvenza),S.R.L.
1969.,DRONE INSPECTION SERVICE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,IT08927501216,08927501216,NA0995377,08927501216,"VIA SANT'ASPRENO, 13",Napoli,80133,Campania,,,,,631119,18/04/2018,,Attiva,S.R.L. semplificata
1970.,VIVID SRL,IT04511050405,04511050405,TR0361492,04511050405,"LGO ELIA ROSSI PASSAVANTI, 13",Terni,05100,Umbria,,,,,721909,25/05/2020,,Attiva,S.R.L.
1971.,ROUNDABOUT S.R.L.,IT12027720015,12027720015,TO1259049,12027720015,"CSO CASTELFIDARDO, 30/A",Torino,10129,Piemonte,,,,,620100,10/01/2019,,Attiva,S.R.L.
1972.,SUDTITLES S.R.L.,IT06938530828,06938530828,PA0426153,06938530828,"VIA CATANIA, 73",Palermo,90141,Sicilia,,,,,591200,19/02/2021,,Attiva,S.R.L.
1973.,MUGO S.R.L. SOCIETA' BENEFIT,IT11151690960,11151690960,MI2583335,11151690960,"VIA LUIGI SETTEMBRINI, 26",Milano,20124,Lombardia,,,,,620100,22/01/2020,,Attiva,S.R.L.
1974.,T-MASS 4.0 S.R.L.,IT10097541212,10097541212,NA1080591,10097541212,VIA NUOVA POGGIOREALE,Napoli,80143,Campania,,,,,721909,22/07/2022,,Attiva,S.R.L.
1975.,EQUIUP SRL,IT05142450757,05142450757,LE0345092,05142450757,"VIA VITTORIO EMANUELE III, 79",Lecce,73016,Puglia,VIA VITTORIO EMANUELE III 79,Lecce,73016,PUGLIA,631200,25/02/2021,,Attiva,S.R.L.
1976.,M-IOT SOCIETA' BENEFIT S.R.L. IN LIQUIDAZIONE,IT12513050018,12513050018,TO1295695,12513050018,"CSO UNIONE SOVIETICA, 209",Torino,10134,Piemonte,,,,,620100,04/06/2021,,In liquidazione,S.R.L.
1977.,MANAGIFY S.R.L.,IT04597650615,04597650615,CE0339783,04597650615,"VLE CARLO III DI BORBONE, 8",Caserta,81100,Campania,VIALE CARLO III DI BORBONE 8,Caserta,81100,CAMPANIA,620100,03/08/2021,,Attiva,S.R.L.
1978.,IRV ENGINEERING S.R.L.,IT04542030616,04542030616,CE0335478,04542030616,"CSO UMBERTO I, 291",Caserta,81012,Campania,CORSO UMBERTO I 291,Caserta,81012,CAMPANIA,711210,05/01/2021,,Attiva,S.R.L.
1979.,YMPACT S.R.L.,IT12342390965,12342390965,MI2655214,12342390965,"PZA QUATTRO NOVEMBRE, 4",Milano,20124,Lombardia,PIAZZA IV NOVEMBRE 4,Milano,20124,LOMBARDIA,620909,30/03/2022,,Attiva,S.R.L.
1980.,COMPIUTA S.R.L.,IT05375100285,05375100285,PD0463171,05375100285,"VIA AUGUSTO ANFOSSI, 5",Padova,35129,Veneto,,,,,620100,21/04/2021,,Attiva,S.R.L.
1981.,ATMOSFERE SRL,IT04928640236,04928640236,VR0456932,04928640236,"PZA CITTADELLA, 6",Verona,37122,Veneto,,,,,464710,17/10/2022,,Attiva,S.R.L.
1982.,STAR S.R.L.,IT02091760765,02091760765,PZ0206770,02091760765,"VIA PASQUALE GRIPPO, 6",Potenza,85100,Basilicata,,,,,639100,10/12/2020,,Attiva,S.R.L.
1983.,MONI'TORA - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,IT05182200757,05182200757,LE0348088,05182200757,"VIA BARTOLOMEO RAVENNA, 67",Lecce,73052,Puglia,,,,,721909,08/10/2021,,Attiva,S.R.L. semplificata
1984.,MARENGOLD S.R.L. SOCIETA' BENEFIT IN FORMA ABBREVIATA MARENGOLD S.R.L. OVVERO MARENGOLD S.B.R.L.,IT04009340045,04009340045,CN0329814,04009340045,"VIA VITTORIO EMANUELE II, 256",Cuneo,12042,Piemonte,,,,,712021,01/06/2022,,Attiva,S.R.L.
1985.,PIPEX ENERGY S.R.L.,IT11674300964,11674300964,MI2618541,11674300964,"VLE GIAN GALEAZZO, 15",Milano,20136,Lombardia,,,,,721909,18/03/2021,,Attiva,S.R.L.
1986.,SYRTO RESEARCH S.R.L.,IT03983430921,03983430921,CA0354076,03983430921," MERCATO VECCHIO, 9/11",Cagliari,09124,Sardegna,,,,,620100,07/10/2021,,Attiva,S.R.L.
1987.,MO-TEC SRL,IT02990220358,02990220358,RE0330744,02990220358,"VIA CARLO CATTANEO, 3",Reggio nell'Emilia,42122,Emilia-Romagna,,,,,282209,24/10/2022,,Attiva,S.R.L.
1988.,LDP AUTOMATION S.R.L.,IT11937990965,11937990965,MI2631686,11937990965,"VIA MICHELANGELO BUONARROTI, 39",Milano,20145,Lombardia,VIA MICHELANGELO BUONARROTI 39,Milano,20145,LOMBARDIA,620100,29/07/2021,,Attiva,S.R.L.
1989.,FATHERS ITALIA SOCIETA' A RESPONSABILITA' LIMITATA,IT16792941003,16792941003,RM1677022,16792941003,"VIA CRESCENZIO, 9",Roma,00193,Lazio,,,,,265200,14/07/2022,,Attiva,S.R.L.
1990.,AB INNOVATION CONSULTING S.R.L.,IT11327210966,11327210966,MI2595238,11327210966,"VIA AOSTA, 4",Milano,20155,Lombardia,VIA AOSTA 4,Milano,20155,LOMBARDIA,620100,03/07/2020,,Attiva,S.R.L.
1991.,RUPNIK S.R.L.,IT02682920992,02682920992,GE0503987,02682920992,"VIA FIESCHI, 8/11",Genova,16121,Liguria,,,,,721909,17/06/2020,,Attiva,S.R.L.
1992.,RE CAFFE' S.R.L. (START-UP COSTITUITA A NORMA DELL'ART.4 COMMA10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N.3),IT03492540830,03492540830,ME0241140,03492540830,"VIA AMARI, 5",Messina,98076,Sicilia,VIA AMARI 5,Messina,98076,SICILIA,563000,06/12/2017,,Attiva,S.R.L.
1993.,ALMAIN S.R.L.,IT03867240131,03867240131,CO0402766,03867240131,"VIA CIGALINI, 5/D",Como,22100,Lombardia,VIA CIGALINI 5/D,Como,22100,LOMBARDIA,256100,30/10/2019,,Attiva,S.R.L.
1994.,NIAGARA SRL,IT06670200820,06670200820,PA0407074,06670200820,"VIA CALA, 116",Palermo,90133,Sicilia,VIA CALA 116,Palermo,90133,SICILIA,479110,31/01/2018,,Attiva,S.R.L.
1995.,ITALIANFT S.R.L.,IT12046190968,12046190968,MI2636879,12046190968,"VIA DELLA SPIGA, 52",Milano,20121,Lombardia,,,,,620100,11/10/2021,,Attiva,S.R.L.
1996.,ESPORTAZIONEDIGITALE S.R.L.,IT11419420960,11419420960,MI2601035,11419420960,"PZA DIAZ ARMANDO GENERALE, 5",Milano,20123,Lombardia,PIAZZA GENERALE ARMANDO DIAZ 5,Milano,20123,LOMBARDIA,620100,01/10/2020,,Attiva,S.R.L.
1997.,BYTECH S.R.L.,IT16458601008,16458601008,BN0150859,16458601008,"VIA SAN MARTINO, 177",Benevento,82016,Campania,VIA GENEROSO PAPA 6,Benevento,82010,CAMPANIA,721909,15/12/2021,,Attiva,S.R.L.
1998.,LSP SOLUTIONS S.R.L.,IT03893770549,03893770549,PG0361265,03893770549,"VIA GAETANO DONIZETTI, 91/IG",Perugia,06132,Umbria,,,,,582900,09/05/2023,,Attiva,S.R.L.
