Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
Wahu S.r.l.,https://www.crunchbase.com/organization/wahu-s-r-l,Private,For Profit,"Retail Technology, Shoes",1-10,"Milan, Lombardia, Italy","174,308",,"164,393",,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,"CDP Venture Capital, e-Novia",811000,EUR,965894,Seed,600000,EUR,725910,Seed,600000,EUR,725910,2021-04-23,Seed,2,Patrizia Casali,1,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Hardware, Software",,,,,,"WAHU product is the very first active sole able to adapt its morphology to changes both in the external environment, like terrain, temperature or humidity, and in the dynamic state of the user. Thanks to the unique Italian design and the latest technology, the sole right balances the hi-tech functionality, and the style. WAHU active sole can change its morphology thanks to a series of interconnected chambers, with a particular bellow structure, filled by air through a miniaturized electro-plunger, able to be locked and unlocked. This mechanism allows the sole volumetric changes and, consequently, its grip and cushioning.",+39 02 4590 2000,info@wahu.it,https://www.linkedin.com/company/wahu-shoes,https://wahu.it/,,,,,2019-01-01,year,Active,Wahu is the very first active sole able to adapt its morphology to changes.,,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Oraltec,https://www.crunchbase.com/organization/oraltec-7d28,Private,For Profit,"Dental, Health Care, Nutraceutical, Wellness",1-10,"Firenze, Toscana, Italy","175,169",,"165,212",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,IKIGAI,30000,EUR,33053,Pre-Seed,24000,EUR,26486,Pre-Seed,24000,EUR,26486,2024-09-09,Seed,2,,,Health Care,,,,,,,+39 800 848 688,,https://www.linkedin.com/company/oraltec-it/,https://www.oraltec.it,,,,,2023-01-01,year,Active,Dentistry nutraceuticals,,50131,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Prototipia,https://www.crunchbase.com/organization/prototipia,Private,For Profit,"Business Intelligence, Information Technology, Manufacturing",1-10,"Bari, Puglia, Italy","175,232",,"165,271",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CDP Equity,144000,EUR,171686,Seed,144000,EUR,171686,Seed,144000,EUR,171686,2020-09-01,Seed,1,,,"Data and Analytics, Information Technology, Manufacturing",,,,,,"Prototipia develops, produces, and markets innovative products and services with a high technological value. It specifically deals with the creation of autonomous devices aimed at process automation, the Internet of Things (IoT) and Industry 4.0, with a high technological value as they are based on the use of widespread and emerging technologies, innovative because they aim to create value through the generation of new utility and operating models for the end user.  Prototipia produces Barty, an automated beverage mixing system for the rapid preparation of professional-quality mixed drinks and cocktails. It is designed primarily for the B2B market with simple and intuitive operation, and requires no specific knowledge. More information here: https://www.bartymix.it/.",,,,https://prototipia.net,,,,,2019-01-01,year,Active,"Prototipia develops, produces, and markets innovative products and services with a high technological value.",,70122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Dresso,https://www.crunchbase.com/organization/dresso,Private,For Profit,,1-10,"Florence, Toscana, Italy","175,954",,"165,869",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,EUR,595775,Pre-Seed,500000,EUR,595775,Pre-Seed,500000,EUR,595775,2021-04-08,Seed,1,"Albano Scavo, Enrico Pietrelli, Matteo Tugliani",3,,,,,,,"Dresso is the place where everyone can express themselves and share their unique style with our fashion community.  We aim to connect and inspire people, transforming the circular economy into a social experience.  Everyone can share their outfits and interact with the community, explore other people's wardrobes, and send offers to buy the products they love. On Dresso every item is associated with a digital identity certified on the blockchain. This technology ensures their authenticity and keeps track of the entire life cycle. Our mission is to build a community aware of the impact their wardrobes and shopping choices have on our planet.",,info@dresso.com,https://www.linkedin.com/company/dresso/about/,https://dresso.com,,,,,2021-01-01,month,Active,The fashion platform designed to connect people and promote the circular economy,,50124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
UXGO,https://www.crunchbase.com/organization/uxgo,Private,For Profit,"Developer Tools, Human Computer Interaction, UX Design, Web Design, Web Development",11-50,"Rome, Lazio, Italy","176,236",,"166,223",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,"HATCHER+, LVenture Group",145000,EUR,162867,Pre-Seed,145000,EUR,162867,Pre-Seed,145000,EUR,162867,2019-05-13,Seed,1,"Federico Rosati, Gabriele Rapone",2,"Design, Science and Engineering, Software",,,,,,"UXGO is a team of web designers and marketers that designs and develops websites. They offer services for UX design, web design, front-end development, design thinking, fast prototyping, frontend development, digital innovation, consulting, artificial intelligence, industrial design, and computer engineering.",+393450402017,info@uxgo.io,https://www.linkedin.com/company/uxgo,https://uxgo.io,,,,,2018-08-02,day,Active,UXGO provides tools for fast prototyping that require physical support.,,20154,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
MedSniper,https://www.crunchbase.com/organization/medsniper,Private,For Profit,Health Care,1-10,"Savona, Liguria, Italy","177,029",,"166,987",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Club degli Investitori,220000,EUR,240111,Seed,220000,EUR,240111,Seed,220000,EUR,240111,2020-05-18,Seed,1,Andrea Mazza,1,Health Care,,,,,,"MedSniper created a video laryngoscopy kit with a significant clinical benefit for the patient and a one-of-a-kind method. It is the medical procedure through which a tube is inserted inside the trachea to allow ventilation and, therefore, the supply of oxygen to patients undergoing surgery, in a coma, or in other clinical conditions.",,,,http://www.medsniper.it/,,,,,2019-01-01,year,Active,MedSniper is a biomedical device for airway management using tracheal intubation.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Poleecy,https://www.crunchbase.com/organization/poleecy,Private,For Profit,"Auto Insurance, Blockchain, Commercial Insurance, FinTech, Health Insurance, Insurance, InsurTech, Property Insurance",1-10,"Roma, Lazio, Italy","177,368",,"167,215",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,EUR,369379,Seed,300000,EUR,369379,Seed,300000,EUR,369379,2018-04-20,Seed,1,"Elio Mungo, Massimo Ciaglia",2,"Blockchain and Cryptocurrency, Financial Services, Other",,,,,,"With Poleecy you are always just few clicks away from insuring your life events. We sell policies using the digital channel, that cover well know risks, for short period of time, with no paperwork and recorded with blockchain, tailored to the customer location, habits, needs, and paid by e-money.",+39 348 1563540,info@poleecy.com,https://www.linkedin.com/company/poleecy/,https://www.poleecy.com,,,,,2018-02-02,day,Active,"Instant Insurance, Insurtech, Blockchain",Less than $1M,148,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Mitte Garten,https://www.crunchbase.com/organization/mitte-garten,Private,For Profit,Food and Beverage,1-10,"Turin, Piemonte, Italy","177,533",,"167,377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,EUR,209902,Series A,100000,EUR,98772,Series A,100000,EUR,98772,2022-11-01,Early Stage Venture,2,Vittorio Agù,1,Food and Beverage,,,,,,Mitte Garten managed to build its own aquaponic system without any help by third parties. Since the beginning the business increased by three times per year both in terms of revenues and cultivated surface. The business model addresses mainly restaurants which accept to pay an higher price and order big quantities of vegetables. Mitte Garten's revenues are 100k€ per year so far but the next two years will let the startup increase exponentially.,+39 334 27389497,info@mittegarten.org,https://www.linkedin.com/company/mitte-garten,https://www.mittegarten.org,,,,,2019-01-01,year,Active,"Acquaponic Farming Plant based in Turin, Italy",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Gastromia,https://www.crunchbase.com/organization/gastromia,Private,For Profit,"Food and Beverage, Software",1-10,"Rome, Lazio, Italy","177,924",,"167,851",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,CDP Venture Capital,170000,EUR,188476,Pre-Seed,150000,EUR,165728,Pre-Seed,150000,EUR,165728,2022-04-01,Seed,2,"Federico Bernardoni Giordani, Goffredo Cerza, Lorenzo Brigenti, Riccardo Cerza",4,"Food and Beverage, Software",,,,,,Gastromia is a FoodTech platform where customers can buy food snacks and drinks.,,hello@gastromia.app,https://it.linkedin.com/company/gastromiasrl,https://gastromia.app,,,,,2022-01-01,year,Active,Gastromia is a FoodTech platform where customers can buy food snacks and drinks.,,186,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Mirta,https://www.crunchbase.com/organization/mirta-30c7,Private,For Profit,"B2B, E-Commerce, Fashion, Marketplace, Retail, Wholesale",101-250,"Milan, Lombardia, Italy","178,482",,"168,389",,,22,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,"Picus Capital, Neva SGR, TA Ventures, ICLUB VC, Vintage Capital",5000000,EUR,5557208,Seed,2500000,EUR,2819297,Seed,2500000,EUR,2819297,2021-12-20,Seed,3,"Ciro Di Lanno, Martina Capriotti",2,"Clothing and Apparel, Commerce and Shopping, Design, Other",,,,,,"Founded in 2019 from Ciro Di Lanno and Martina Capriotti, Mirta is the digital showroom that connects contemporary brands with independent curators, meaning retail shops, online stores and influencers. Mirta’s mission is to revolutionize the way high-end brands and retailers sell and buy wholesale.  Mirta’s marketplace allows the curators to find new brands, choose products and buy them online. Mirta offers unique advantages to the retailers – e.g., no minimum order, net 60 days payment terms, free returns. Mirta brings the advantages of the B2C ecommerce to the B2B world. Mirta also provides freely to brands an order management backoffice, Mirta Officina, which permits them to manage their orders – e.g., shipping, invoicing, custom procedures, payments access to data and analytics.",,hello@mirta.com,https://www.linkedin.com/company/mirtaofficial,https://mirta.com,,,,,2019-01-01,year,Active,"A B2B platform for high-end wholesale, bringing together a marketplace and a order management software for the brands that join the platform",$10M to $50M,20121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Live Cartel,https://www.crunchbase.com/organization/live-cartel,Private,For Profit,E-Commerce,,"Napoli, Campania, Italy","178,748",,"168,644",,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,EUR,294522,Pre-Seed,250000,EUR,294522,Pre-Seed,250000,EUR,294522,2020-07-29,Seed,1,Ferdinando Caruso,1,Commerce and Shopping,,,,,,"Live Cartel is the quickest all-in-one eCommerce solution for small enterprises. Live streaming is already included; nothing else needs to be installed or added, and there are no fees associated with sales.",,info@livecartel.com,https://www.linkedin.com/company/live-cartel/,https://livecartel.com/,,,,,2020-01-01,year,Active,"Live Cartel is a Live-shopping platform as a service, to help people build fastest ever eCommerce websites with Livestreaming included.",,80122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Novo Esports,https://www.crunchbase.com/organization/novo-esports,Private,For Profit,"Education, eSports, Gaming, Media and Entertainment",11-50,"Milan, Lombardia, Italy","179,271",,"169,133",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,EUR,121085,Seed,110000,EUR,121085,Seed,110000,EUR,121085,2023-08-01,Seed,1,"Emanuele Acerbis, Francesco Alacca",2,"Education, Gaming, Media and Entertainment, Sports",,,,,,"Novo Esports aims to become the Italian leader in the world of esports and provide entertainment experience to players and spectators. Novo Esports is dedicated to promoting esports at 360 degrees, with a particular focus on innovation, the creation of a real ecosystem, and the creation of a passionate and engaging community. The company was founded in 2023 and is based in Milano, Lombardia.",,info@novoesports.gg,https://www.linkedin.com/company/novo-esports/,https://novoesports.gg/,,,,,2023-02-21,day,Active,Novo Esports aims to become the Italian leader in the world of esports and provide entertainment experience to players and spectators.,,20141,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
D4RE,https://www.crunchbase.com/organization/d4re,Private,For Profit,"Marketplace, Real Estate",1-10,"Milano, Lombardia, Italy","181,055",,"170,727",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,EUR,553260,Pre-Seed,500000,EUR,553260,Pre-Seed,500000,EUR,553260,2022-03-18,Seed,1,Marcello Panizzutti,1,"Commerce and Shopping, Real Estate",,,,,,Marketplace & Transaction Managment Solution for Commercial Real Estate,3487116756,info@d4re.com,https://www.linkedin.com/company/d4re/?viewAsMember=true,https://www.d4re.com/,,,,,2021-04-27,day,Active,Marketplace - Web App,,20121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Orpha Biotech,https://www.crunchbase.com/organization/orpha-biotech,Private,For Profit,"Biotechnology, Life Science",1-10,"Maglie, Puglia, Italy","181,088",,"170,862",,,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CDP Equity,237000,EUR,282567,Pre-Seed,237000,EUR,282567,Pre-Seed,237000,EUR,282567,2020-09-01,Seed,1,,,"Biotechnology, Science and Engineering",,,,,,Orpha Biotech is a developer of pharmaceutical drugs using molecular technology designed to treat orphan diseases. They create small-molecule medications to treat juvenile rheumatoid arthritis and cutaneous systemic sclerosis. They use structure-based computational virtual screening and allied docking simulations to discover potential agonists or antagonists.,,,https://www.linkedin.com/company/orpha-biotech-srl,https://orphabiotech.it,,,,,2018-01-01,year,Active,Orpha Biotech develops small molecules for the treatment of systemic sclerosis and juvenile rheumatoid arthritis.,Less than $1M,73024,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Eathic,https://www.crunchbase.com/organization/eathic,Private,For Profit,"Apps, Food and Beverage, Reservations, Software",1-10,"Jesolo, Veneto, Italy","181,628",,"171,265",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,EUR,134922,Seed,120000,EUR,134922,Seed,120000,EUR,134922,2023-07-14,Seed,1,,,"Apps, Events, Food and Beverage, Media and Entertainment, Software",,,,,,Eathic provides a simpler way to handle restaurant reservations.,+39 3761315696,ciao@eathic.it,https://www.linkedin.com/company/eathic-it,https://eathic.it,,,,,2021-01-01,year,Active,Eathic provides simpler way to manage bookings at restaurant.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Maxfone,https://www.crunchbase.com/organization/maxfone,Private,For Profit,"Big Data, Internet of Things",1-10,"Milano, Lombardia, Italy","181,675",,"171,308",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,EASME,71429,EUR,81868,,,,,Grant,71429,EUR,81868,2019-01-01,,1,,,"Data and Analytics, Internet Services",,,,,,Maxfone is an innovative SME operating in the field of exponential technologies ( IoT ) and Data Science.,,info@maxfone.it,https://www.linkedin.com/company/maxfone-srl,http://maxfone.it/,,,,,2018-01-01,year,Active,Maxfone is an innovative SME operating in the field of exponential technologies ( IoT ) and Data Science.,,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Fudurama,https://www.crunchbase.com/organization/fudurama,Private,For Profit,"B2B, Food and Beverage, SaaS",1-10,"Milano, Lombardia, Italy","182,461",,"172,059",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Startup Wise Guys,55000,EUR,59519,Pre-Seed,55000,EUR,59519,Pre-Seed,55000,EUR,59519,2022-04-14,Seed,1,,,"Food and Beverage, Other, Software",,,,,,Fudurama is a B2B Saas solution that connects restaurants to suppliers to streamline the procurement process.,,,https://www.linkedin.com/company/fudurama,https://www.fudurama.com,,,,,2021-01-01,year,Active,Fudurama is a B2B Saas solution that connects restaurants to suppliers to streamline the procurement process.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Matchdog,https://www.crunchbase.com/organization/matchdog,Private,For Profit,"Pet, Social Network, Web Apps",1-10,"Florence, Toscana, Italy","183,174",,"172,744",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Newchip Accelerator,250000,USD,250000,Pre-Seed,250000,USD,250000,Pre-Seed,250000,USD,250000,2021-10-01,Seed,1,,,"Apps, Community and Lifestyle, Internet Services, Software",,,,,,,,juan@matchdog.app,https://mx.linkedin.com/company/matchdog,https://matchdog.app/en/,,,,,2019-05-30,day,Active,"Connecting dog owners to find friends, playdates and pair their dogs. IOS and google play.",,50124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Parallel Office,https://www.crunchbase.com/organization/parallel-office,Private,For Profit,"Metaverse, Service Industry, Software",1-10,"Milan, Lombardia, Italy","183,973",,"173,630",,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,EUR,248795,Seed,250000,EUR,248795,Seed,250000,EUR,248795,2022-09-01,Seed,1,,,"Media and Entertainment, Other, Software",,,,,,"Parallel Office is a decentralized platform powered by blockchain technology through smart contracts, NFTs, and the algorithmic $PLO token. The ecosystem will include a decentralized marketplace matching professionals looking for jobs and employers looking for talent.",+39 3516436038,gregor@paralleloffice.io,https://www.linkedin.com/company/parallel-office-metaverse/,https://www.paralleloffice.io/,,,,,2021-09-09,day,Active,The decentralized metaverse for business.,,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TeachCorner,https://www.crunchbase.com/organization/teachcorner,Private,For Profit,"Education, Internet, Peer to Peer",1-10,"Milan, Lombardia, Italy","183,987",,"173,525",,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,Impact Hub,50000,EUR,61188,Pre-Seed,50000,EUR,61188,Pre-Seed,50000,EUR,61188,2020-12-21,Seed,1,"Edoardo Pelosini, Michele Rosica, Simone Bresciani",3,"Education, Internet Services, Other",,,,,,"We have the mission to fight the drop-out of university connecting freshmen to seniors on a platform for private tuition, focused on specific exams. Juniors learn from seniors and not from expensive professors. TeachCorner offers a bilateral market: - Juniors can afford more private tuition and save money. Juniors are mentored by young people who have made it and they are networked for a future entry-level job. - Seniors can keep in practice the skills learned, make money for leisure & for the first job relocation costs. TeachCorner ensures saving and offers (as value proposition) specific private tuition for universities: Juniors can refine the search by universities and courses (as filters) to find the best help for specific exams",3287786300,info@teachcorner.com,https://www.linkedin.com/company/teachcorner/,https://www.teachcorner.com,,,,,2019-02-27,day,Active,TeachCorner is a education technology platform where university students can meet for the private tuition and online group refreshes.,,20155,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
FX12,https://www.crunchbase.com/organization/fx12,Private,For Profit,Supply Chain Management,1-10,"Naples, Campania, Italy","184,332",,"173,976",,,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CDP Equity,180000,EUR,217275,Seed,180000,EUR,217275,Seed,180000,EUR,217275,2020-12-01,Seed,1,Pasquale Russiello,1,Transportation,,,,,,FX12 offers various solutions both for the assignment of credits through standardized services and hypotheses built ad hoc for specific needs or for supply chains. FX12 identifies three types of investors: companies interested in introducing dynamic discounting and investing.,+39 081 7352503,info@fx12.it,https://www.linkedin.com/company/fx12,https://fx12.it,,,,,2020-01-01,year,Active,FX12 is a fintech company creating new opportunities for meeting the demand and supply of working capital for companies.,$1M to $10M,80124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Aircnc,https://www.crunchbase.com/organization/aircnc,Private,For Profit,"Apps, B2B, E-Commerce, Internet, Marketplace",1-10,"Milan, Lombardia, Italy","185,224",,"174,701",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,"Digital Magics, Moffu Labs",188000,EUR,215476,Seed,188000,EUR,215476,Seed,188000,EUR,215476,2019-01-01,Seed,1,"Alberto Bernasconi, Elena Fagnani, Fagnani Gianfranco, Filippo Fagnani, Marco Girolamo Guarna",5,"Apps, Commerce and Shopping, Internet Services, Other, Software",,,,,,"AIRCNC is an innovative startup that deals with the development of a platform for sharing machine processing hours, a B2B marketplace that involves Italian manufacturers and contractors in particular in the metalworking sector.",,info@aircnc.it,https://www.linkedin.com/company/aircncsrl,http://www.aircnc.it,,,,,2018-11-01,month,Active,"Aircnc is an innovative startup that deals with the development of a platform for sharing machine processing hours, a B2B marketplace.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Offtryp,https://www.crunchbase.com/organization/offtryp,Private,For Profit,"Software, Travel, Travel Agency",1-10,"Milan, Lombardia, Italy","185,563",,"175,140",,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,EUR,89021,Pre-Seed,80000,EUR,89021,Pre-Seed,80000,EUR,89021,2020-01-14,Seed,1,"Alice Cagliani, Nicola Guariglia",2,"Software, Travel and Tourism",,,,,,"Offtryp is a fully integratable software that digitalises travel agencies.  Specifically, it lets travelers instantly explore a destination based on their preferences, select what they wish to see, and receive in the matter of seconds a full trip itinerary made by AI based on their selections. Travel agencies (or websites) cn then edit the AI generated itinerary, complement it with services, quote it and sell it, all while using the same platform. Ideal for institutional websites and travel agencies.",,info@offtryp.com,https://www.linkedin.com/company/offtryptravel,https://www.offtrypb2b.com,,,,,2019-08-05,day,Active,Offtryp is a next generation software aimed at digitalising travel websites,,20121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Kazaam Lab,https://www.crunchbase.com/organization/kazaam-lab,Private,For Profit,"Art, Big Data, Health Care, Information Technology, Machine Learning, Software",1-10,"Palermo, Sicilia, Italy","185,870",,"175,431",,,13,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Fondazione Social Venture Giordano dell'Amore,50000,EUR,57767,Venture - Series Unknown,50000,EUR,57767,Venture - Series Unknown,50000,EUR,57767,2021-10-11,,1,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Media and Entertainment, Software",,,,,,Kazaam Lab provides decision support in healthcare. They turn data relationships into meaningful solutions. Their products support clients in making difficult decisions such as suitable therapy for individuals affected by serious diseases. They apply clustering and machine learning techniques to retrieve novel information from the integrated networks. They respond to customer inquiries by email and contact form.,,info@kazaam.com,https://www.linkedin.com/company/kazaam-lab/,https://www.kazaamlab.com,,,,,2020-01-01,year,Active,Kazaam Lab designs and develops digital solutions for professionals in healthcare.,Less than $1M,90142,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Candle Street,https://www.crunchbase.com/organization/candle-street,Private,For Profit,"Consumer Goods, E-Commerce, Gift, Retail",1-10,"Milan, Lombardia, Italy","186,073",,"175,628",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,LVenture Group,110000,EUR,134393,Pre-Seed,110000,EUR,134393,Pre-Seed,110000,EUR,134393,2021-06-01,Seed,1,"Gabriele Teschioni, Marco Teschioni, Raffaella Teschioni, Stefano Colciago",4,"Commerce and Shopping, Consumer Goods",,,,,,"Candle Street is a scented candle brand that allows its customers to create, through an innovative online experience, their own scented candles, choosing from more than 40 different fragrances and mixing them together, to create their own personalized fragrance and choosing from several designs and colors.",+39 327-063-6114,info@candle.st,https://www.linkedin.com/company/candlest/,https://candle.st,,,,,2020-01-17,day,Active,Candle Street is a candle manufacturing company that offers a range of scented candles.,,20129,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Oxabyo,https://www.crunchbase.com/organization/oxabyo,Private,For Profit,"eSports, Gaming, Online Games",1-10,"Roma, Lazio, Italy","186,858",,"176,363",,,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Enry's Island SpA,92085,EUR,111933,Pre-Seed,92085,EUR,111933,Pre-Seed,92085,EUR,111933,2021-01-01,Seed,1,"Gabriele Vedani, Luca Nardi",2,"Gaming, Sports",,,,,,"Oxabyo is an innovative starup with a strong social impact, based on ideal inclusion and non-diversity. It is a platform designed for the global community of players, where you can make friends and play against the best gamers in the world during exciting live events.  At Oxabyo it is possible to organize and participate in live streaming events; connect with a global community of gamers; monitor your performance thanks to a proprietary algorithm and get money by playing.",,,https://www.linkedin.com/company/oxabyo,https://www.oxabyo.com,,,,,2021-01-01,day,Active,"Oxabyo is an innovative startup designed for the global community of gamers: connect, play and monetize.",,1000198,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Pin Vision,https://www.crunchbase.com/organization/pin-vision,Private,For Profit,eSports,1-10,"Torino, Piemonte, Italy","186,834",,"176,248",,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,B4i - Bocconi for innovation,30000,EUR,33146,Pre-Seed,30000,EUR,33146,Pre-Seed,30000,EUR,33146,2022-04-01,Seed,1,"Luigi Goria, Roberto Chiosa",2,Sports,,,,,,"Pin Vision is the most updated GPS database in the Italian Golf Industry. Thanks to our unique data, we are becoming the leader startup for digitizing the Golf Market. We developed the first app in the world which allows both Golf Clubs and Golf Players a completely brand new experience.  For the player, we provide a native iOS and Android app through which they can always be updated on pin positions and know the actual distance to the flag. Through the algorithm developed, we guarantee an accuracy equivalent to that of a rangefinder. In addition, Pin Vision is available for free on Apple Watch, in order to guarantee to the player a unique user experience on the course. For the Golf Club, we provide an innovative SaaS on subscription through which they can: provide to players sustainable pin positions, send unlimited messages to players, supply statistics of golf players on course and increase Golf Club visibility within our community. In addition, for those companies interested in having visibility among our community we do offer in-app marketing , adopting a top-demand side platform model. In this way we guarantee a free service for the players but at the same time a revenue stream to our company.",,info@pinvision.it,https://www.linkedin.com/company/pinvision/,https://pinvision.app/en/,,,,,2021-02-16,day,Active,"Pin Vision is an innovative startup which aims to completely digitalise the golf experience, both for golf clubs and golf players",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
GeekandJob,https://www.crunchbase.com/organization/geekandjob,Private,For Profit,"Internet, Recruiting",1-10,"Milano, Lombardia, Italy","187,279",,"176,665",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210000,EUR,232077,Seed,210000,EUR,232077,Seed,210000,EUR,232077,2019-11-15,Seed,1,"Alessandro Volpato, Rodolfo Laneri",2,"Internet Services, Professional Services",,,,,,"The leading Italian hiring platform for technology geeks. Geekandjob.com focuses on connecting Italian software / QA engineers, Web designers and data scientists with companies in Europe. Users can create a profile starting from a CV/Resume in a few seconds and send their candidature to open jobs through their dashboards. Companies open new jobs with many parameters rapidly and receive a pipeline of suitable candidates with many tools to track their selection process. Recruiters use several built-in automation to manage and close the double of researches compared to the traditional search and selection industry.",,social@geekandjob.com,https://www.linkedin.com/company/geekandjob-it,https://www.geekandjob.com/,,,,,2019-11-10,day,Active,The leading Italian hiring platform for technology geeks,,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
MUV B Corp,https://www.crunchbase.com/organization/muv-b-corp,Private,For Profit,"Edutainment, Gamification, Sustainability",1-10,"Palermo, Sicilia, Italy","187,489",,"176,966",,,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CrossFund,125000,USD,125000,Angel,125000,USD,125000,Angel,125000,USD,125000,2021-11-01,Seed,1,,,"Education, Gaming, Media and Entertainment, Sustainability",,,,,,"MUV turns  sustainable mobility into a phygital sport. It encourages more responsible habits, delivers CO2 credits and data-driven mobility plans. Founded in 2020.",,info@muvgame.com,https://www.linkedin.com/company/53437592,https://muvgame.com,,,,,2020-01-06,day,Active,MUV is a phygital sport that promotes sustainable mobility.,,90133,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
